+-------------------------------+-----------------------------------------+------------------------------------------+-----------------------------+
|                               | Key                                     | Title                                    | Unit                        |
| (97, 98, 124.0, 126.0, nan)   | Verkoopwaarde1VanDeTotaleOmzet_98       | Verkoopwaarde < 1% van de totale omzet   | % van bedrijven             |
| (97, 98, 124.0, 127.0, nan)   | Verkoopwaarde1VanDeTotaleOmzet_99       | Verkoopwaarde >= 1% van de totale omzet  | % van bedrijven             |
| (97, 98, 124.0, 128.0, nan)   | Verkoopwaarde2VanDeTotaleOmzet_100      | Verkoopwaarde >= 2% van de totale omzet  | % van bedrijven             |
| (97, 98, 124.0, 129.0, nan)   | Verkoopwaarde5VanDeTotaleOmzet_101      | Verkoopwaarde >= 5% van de totale omzet  | % van bedrijven             |
| (97, 98, 124.0, 130.0, nan)   | Verkoopwaarde10VanDeTotaleOmzet_102     | Verkoopwaarde >= 10% van de totale omzet | % van bedrijven             |
| (97, 98, 124.0, 131.0, nan)   | Verkoopwaarde25VanDeTotaleOmzet_103     | Verkoopwaarde >= 25% van de totale omzet | % van bedrijven             |
| (97, 98, 124.0, 132.0, nan)   | Verkoopwaarde50VanDeTotaleOmzet_104     | Verkoopwaarde >= 50% van de totale omzet | % van bedrijven             |
| (97, 133, 134.0, nan, nan)    | InkoopViaECommerce_105                  | Inkoop via e-commerce                    | % van bedrijven             |
| (97, 133, 135.0, nan, nan)    | Inkoopwaarde1VanDeTotaleInkoop_106      | Inkoopwaarde < 1% van de totale inkoop   | % van bedrijven             |
| (97, 133, 136.0, nan, nan)    | Inkoopwaarde1VanDeTotaleInkoop_107      | Inkoopwaarde >= 1% van de totale inkoop  | % van bedrijven             |
| (97, 133, 137.0, nan, nan)    | Inkoopwaarde2VanDeTotaleInkoop_108      | Inkoopwaarde >= 2% van de totale inkoop  | % van bedrijven             |
| (97, 133, 138.0, nan, nan)    | Inkoopwaarde5VanDeTotaleInkoop_109      | Inkoopwaarde >= 5% van de totale inkoop  | % van bedrijven             |
| (97, 133, 139.0, nan, nan)    | Inkoopwaarde10VanDeTotaleInkoop_110     | Inkoopwaarde >= 10% van de totale inkoop | % van bedrijven             |
| (97, 133, 140.0, nan, nan)    | Inkoopwaarde25VanDeTotaleInkoop_111     | Inkoopwaarde >= 25% van de totale inkoop | % van bedrijven             |
| (97, 133, 141.0, nan, nan)    | Inkoopwaarde50VanDeTotaleInkoop_112     | Inkoopwaarde >= 50% van de totale inkoop | % van bedrijven             |
| (97, 133, 142.0, 143.0, nan)  | InkoopViaEenWebsiteApp_113              | Inkoop via een website/app               | % van bedrijven             |
